rebalance_date,ticker,rank,selected_flag
2016-01-04,MCD,13.0,1
2016-01-04,RIG,14.0,1
2016-01-04,CINF,15.0,1
2016-01-04,DO,16.0,1
2016-01-04,MO,17.0,1
2016-01-04,PBCT,18.0,1
2016-01-04,UPS,19.0,1
2016-01-04,DLPH,20.0,1
2016-02-01,CLX,1.0,1
2016-02-01,KLAC,2.0,1
2016-02-01,CPB,3.0,1
2016-02-01,ED,4.0,1
2016-02-01,SYY,5.0,1
2016-02-01,NVDA,6.0,1
2016-02-01,SO,7.0,1
2016-02-01,FSLR,8.0,1
2016-02-01,PAYX,9.0,1
2016-02-01,VRSN,10.0,1
2016-02-01,HRL,11.0,1
2016-02-01,MCD,12.0,1
2016-02-01,K,13.0,1
2016-02-01,MO,14.0,1
2016-02-01,CINF,15.0,1
2016-02-01,NEM,16.0,1
2016-02-01,LLTC,17.0,1
2016-02-01,SCG,18.0,1
2016-02-01,DO,19.0,1
2016-02-01,XLNX,20.0,1
2016-02-29,CLX,1.0,1
2016-02-29,KLAC,2.0,1
2016-02-29,CPB,3.0,1
2016-02-29,NEM,4.0,1
2016-02-29,VRSN,5.0,1
2016-02-29,PAYX,6.0,1
2016-02-29,ED,7.0,1
2016-02-29,CINF,8.0,1
2016-02-29,SO,9.0,1
2016-02-29,NVDA,10.0,1
2016-02-29,FSLR,11.0,1
2016-02-29,SYY,12.0,1
2016-02-29,FAST,13.0,1
2016-02-29,MO,14.0,1
2016-02-29,MAT,15.0,1
2016-02-29,LLTC,16.0,1
2016-02-29,EMR,17.0,1
2016-02-29,PBCT,18.0,1
2016-02-29,BLK,19.0,1
2016-02-29,K,20.0,1
2016-03-28,CLX,1.0,1
2016-03-28,KLAC,2.0,1
2016-03-28,CPB,3.0,1
2016-03-28,VRSN,4.0,1
2016-03-28,NEM,5.0,1
2016-03-28,PAYX,6.0,1
2016-03-28,DO,7.0,1
2016-03-28,EMR,8.0,1
2016-03-28,ED,9.0,1
2016-03-28,NVDA,10.0,1
2016-03-28,FSLR,11.0,1
2016-03-28,FAST,12.0,1
2016-03-28,SO,13.0,1
2016-03-28,CINF,14.0,1
2016-03-28,HOT,15.0,1
2016-03-28,CAT,16.0,1
2016-03-28,BLK,17.0,1
2016-03-28,ROK,18.0,1
2016-03-28,SYY,19.0,1
2016-03-28,UPS,20.0,1
2016-04-25,CLX,1.0,1
2016-04-25,NEM,2.0,1
2016-04-25,CPB,3.0,1
