strategy_id,date,ticker,event,detail,cash_change,shares_change
D20,2019-11-15,COST,PUT_EXPIRE,OTM K=285.00 S_close=303.66,0.0,0
D20,2019-11-15,ABT,PUT_EXPIRE,OTM K=78.50 S_close=85.71,0.0,0
D20,2019-11-15,TMO,PUT_EXPIRE,OTM K=280.00 S_close=306.81,0.0,0
D20,2019-11-15,NVDA,PUT_EXPIRE,OTM K=185.00 S_close=204.19,0.0,0
D20,2019-11-15,FISV,PUT_EXPIRE,OTM K=100.00 S_close=113.91,0.0,0
D10,2020-04-24,MSFT,SELL_PUT,exp=2020-05-15 K=140.00 prem=0.28 x27,756.0,0
D10,2020-04-24,AAPL,SELL_PUT,exp=2020-05-15 K=255.00 prem=2.87 x15,4305.0,0
D10,2020-04-24,JNJ,SELL_PUT,exp=2020-05-15 K=142.00 prem=0.90 x27,2430.0,0
D10,2020-04-24,WMT,SELL_PUT,exp=2020-05-15 K=120.00 prem=1.09 x32,3488.0,0
D10,2020-04-24,NFLX,SELL_PUT,exp=2020-05-15 K=375.00 prem=3.45 x10,3450.0,0
D10,2020-04-24,PG,SELL_CALL,exp=2020-05-15 K=128.00 prem=0.39 x58,2262.0,0
D10,2020-04-24,NVDA,SELL_PUT,exp=2020-05-15 K=255.00 prem=3.88 x15,5820.0,0
D10,2020-04-24,LLY,SELL_PUT,exp=2020-05-15 K=147.00 prem=1.32 x26,3432.0,0
D10,2020-04-24,ADBE,SELL_PUT,exp=2020-05-15 K=295.00 prem=1.80 x13,2340.0,0
D10,2020-04-24,INTC,SELL_CALL,exp=2020-05-15 K=64.00 prem=0.62 x87,5394.0,0
D10,2020-04-24,REGN,SELL_PUT,exp=2020-05-15 K=520.00 prem=12.72 x7,8904.0,0
D10,2020-04-24,MRK,SELL_PUT,exp=2020-05-15 K=76.00 prem=0.91 x51,4641.0,0
D10,2020-04-24,ABT,SELL_PUT,exp=2020-05-15 K=88.00 prem=1.23 x44,5412.0,0
D10,2020-04-24,BAC,SELL_PUT,exp=2020-05-15 K=17.00 prem=0.12 x228,2736.0,0
D10,2020-04-24,AMD,SELL_CALL,exp=2020-05-15 K=70.00 prem=0.40 x337,13480.0,0
D10,2020-04-24,CL,SELL_PUT,exp=2020-05-15 K=67.00 prem=1.01 x58,5858.0,0
D10,2020-04-24,NEM,SELL_PUT,exp=2020-05-15 K=57.00 prem=1.22 x68,8296.0,0
D10,2020-04-24,PFE,SELL_CALL,exp=2020-05-15 K=40.50 prem=0.12 x131,1572.0,0
D10,2020-04-24,TMO,SELL_PUT,exp=2020-05-15 K=270.00 prem=1.33 x14,1862.0,0
D10,2020-04-24,BMY,SELL_PUT,exp=2020-05-15 K=54.00 prem=0.19 x72,1368.0,0
D20,2020-04-24,MSFT,SELL_PUT,exp=2020-05-15 K=150.00 prem=0.80 x25,2000.0,0
D20,2020-04-24,AAPL,SELL_PUT,exp=2020-05-15 K=255.00 prem=2.87 x15,4305.0,0
D20,2020-04-24,JNJ,SELL_PUT,exp=2020-05-15 K=142.00 prem=0.90 x27,2430.0,0
D20,2020-04-24,WMT,SELL_PUT,exp=2020-05-15 K=120.00 prem=1.09 x32,3488.0,0
D20,2020-04-24,NFLX,SELL_PUT,exp=2020-05-15 K=375.00 prem=3.45 x10,3450.0,0
D20,2020-04-24,PG,SELL_CALL,exp=2020-05-15 K=128.00 prem=0.39 x48,1872.0,0
D20,2020-04-24,NVDA,SELL_PUT,exp=2020-05-15 K=255.00 prem=3.88 x15,5820.0,0
D20,2020-04-24,LLY,SELL_PUT,exp=2020-05-15 K=147.00 prem=1.32 x26,3432.0,0
D20,2020-04-24,ADBE,SELL_PUT,exp=2020-05-15 K=305.00 prem=2.78 x12,3336.0,0
D20,2020-04-24,INTC,SELL_CALL,exp=2020-05-15 K=64.00 prem=0.62 x70,4340.0,0
D20,2020-04-24,REGN,SELL_PUT,exp=2020-05-15 K=520.00 prem=12.72 x7,8904.0,0
D20,2020-04-24,MRK,SELL_PUT,exp=2020-05-15 K=76.00 prem=0.91 x51,4641.0,0
D20,2020-04-24,ABT,SELL_PUT,exp=2020-05-15 K=88.00 prem=1.23 x44,5412.0,0
D20,2020-04-24,BAC,SELL_CALL,exp=2020-05-15 K=27.00 prem=0.07 x117,819.0,0
