strategy_id,date,cash,equity,daily_pnl
D10,2019-07-19,6791614.61,12082520.58,-36130.66
D20,2019-07-19,6250834.44,11946907.46,-34185.95
D10,2019-07-22,6792164.4,12099191.41,16670.84
D20,2019-07-22,6251340.46,11976441.47,29534.0
D10,2019-07-23,6792708.86,12139513.91,40322.5
D20,2019-07-23,6251841.56,12019636.52,43195.05
D10,2019-07-24,6793261.44,12148717.49,9203.58
D20,2019-07-24,6252350.14,12032341.1,12704.58
D10,2019-07-25,6793816.76,12101947.81,-46769.69
D20,2019-07-25,6252861.24,11980789.29,-51551.8
D10,2019-07-26,6794377.52,12137669.54,35721.73
D20,2019-07-26,6253377.35,12000753.32,19964.02
D10,2019-07-29,6794935.63,12112768.58,-24900.96
D20,2019-07-29,6253891.02,11990150.98,-10602.34
D10,2019-07-30,6795485.69,12083103.68,-29664.9
D20,2019-07-30,6254397.29,11967692.23,-22458.75
D10,2019-07-31,6796035.81,11909220.78,-173882.91
D20,2019-07-31,6254903.6,11802832.52,-164859.71
D10,2019-08-01,6796583.26,11844556.26,-64664.52
D20,2019-08-01,6255407.47,11737765.51,-65067.01
D10,2019-08-02,6797128.07,11804951.05,-39605.21
D20,2019-08-02,6255908.89,11696170.92,-41594.59
D10,2019-08-05,6797667.52,11626116.52,-178834.53
D20,2019-08-05,6256405.39,11531346.39,-164824.53
D10,2019-08-06,6798209.72,11684110.73,57994.2
D20,2019-08-06,6256904.41,11600077.42,68731.03
D10,2019-08-07,6798743.86,11702970.85,18860.12
D20,2019-08-07,6257396.03,11588122.01,-11955.41
D10,2019-08-08,6799278.05,11917446.06,214475.22
D20,2019-08-08,6257887.68,11778059.69,189937.68
D10,2019-08-09,6799806.88,11873884.94,-43561.13
D20,2019-08-09,6258374.41,11739476.41,-38583.28
D10,2019-08-12,6800335.76,11779607.78,-94277.15
D20,2019-08-12,6258861.17,11631330.15,-108146.26
D10,2019-08-13,6800864.67,11818257.62,38649.83
D20,2019-08-13,6259347.97,11657497.91,26167.76
D10,2019-08-14,6801382.83,11669688.84,-148568.77
D20,2019-08-14,6259824.87,11501230.93,-156266.98
D10,2019-08-15,6801887.54,11677607.54,7918.69
D20,2019-08-15,6260289.39,11498380.39,-2850.54
D10,2019-08-16,6802381.49,11782636.43,105028.89
D20,2019-08-16,6260744.01,11610637.0,112256.61
D10,2019-08-19,6802894.36,11833943.43,51307.0
D20,2019-08-19,6261216.05,11645422.01,34785.01
D10,2019-08-20,6803407.28,11794185.28,-39758.15
D20,2019-08-20,6261688.12,11610291.12,-35130.89
D10,2019-08-21,6803928.34,11865931.31,71746.02
D20,2019-08-21,6262167.69,11671341.61,61050.49
D10,2019-08-22,6804457.53,11893218.55,27287.24
D20,2019-08-22,6262654.75,11698547.76,27206.15
D10,2019-08-23,6804978.66,11730405.67,-162812.87
D20,2019-08-23,6263134.39,11552957.39,-145590.37
D10,2019-08-26,6805507.94,11816157.99,85752.32
D20,2019-08-26,6263621.52,11632836.53,79879.13
D10,2019-08-27,6806031.86,11792167.84,-23990.15
D20,2019-08-27,6264103.72,11620301.79,-12534.73
D10,2019-08-28,6806558.51,11852098.51,59930.67
D20,2019-08-28,6264588.44,11685755.44,65453.65
D10,2019-08-29,6807085.21,11912721.2,60622.69
D20,2019-08-29,6265073.2,11734030.19,48274.75
D10,2019-08-30,6807611.95,11920014.97,7293.76
D20,2019-08-30,6265558.0,11734546.96,516.77
D10,2019-09-03,6808136.03,11896270.1,-23744.86
D20,2019-09-03,6266040.35,11710090.37,-24456.59
D10,2019-09-04,6808657.45,11942849.38,46579.27
